title,author
American Gods,Neil Gaiman
Lord of the Flies,William Golding
Siddhartha,Hermann Hesse
Sophie's World,Jostein Gaarder
A Brief History of Time,Stephen Hawking
The Great Gatsby,F. Scott Fitzgerald
To Kill A Mocking Bird,Harper Lee
Matilda,Roald Dahl
The Complete Art of War,Sun Tzu
Do Androids Dream of Electric Sheep,Philip K. Dick
Long Walk to Freedom,Nelson Mandela
Murder on the Orient Express,Agatha Christie
Thw Man Who Mistook his Wife for a Hat,Oliver Sacks
Noughts & Crosses,Malorie Blackman
In Cold Blood,Truman Capote
Frankenstein,Mary Shelley
Alice's Adventures in Wonderland,Lewis Carroll
The Secret History,Donna Tartt
Wuthering Heights,Emily Bronte
Nineteen Eighty-Four,George Orwell
Grapes of Wrath ,John Steinbeck
Norwegian Wood,Haruki Murakami
One Flew Over the Cuckoo's Nest,Ken Kesley
The Man in the Iron Mask,Alexandre Dumas
The Color Purple,Alice Walker
The Girl with the Dragon Tattoo,Stieg Larsson
Lolita,Vladimir Nabokov
Great Expectations,Charles Dickens
Harry Potter (Series),J. K. Rowling
His Dark Materials,Philip Pullman
The Old Man and the Sea,Ernest Hemingway
The Picture of Dorian Gray,Oscar Wilde
The Road,Cormac McCarthy
Ulysses,James Joyce
Bad Science,Ben Goldacre
I Capture the Castle,Fear and Loathing in Las Vegas
Fear and Loathing in Las Vegas,Hunter S. Thompson
Les Miserables,Victor Hugo
The Catcher in the Rye,J.D. Salinger
Wind in the Willows,Kenneth Grahame
Wild Swans,Jung Chang
The Hitchhikers Guide to The Galaxy,Douglas Adams
Tinker Tailer Soldier Spy,John Le Carre
Crime and Punishment,Fyodor Dostoyevsky
The Poisonwood Bible,Barbara Kingsolver
Adentures of Huckleberry Finn,Mark Twain
Gulliver's Travels,Jonathan Swift
The War of the Worlds,H.G. Wells
Anna Karenina,Leo Tolstoy
Frankonomics,S. Dubner. S. Levitt
A Game of Thrones,George R. R. Martin
The Help,Kathryn Stockett
Flowers for Algernon,Daniela Keyes
I Know Why the Caged  Birds Sings,Maya Angelou
American Psycho,Bret Easton Ellis
Notes From a Small Island,Bill Bryson
Macbeth,William Shakespeare
The Lord of the Rings (Trilogy),J. R. R. Tolkien
A History of Venice,John Julius Norwich
The Selfish Gene,Richard Dawkins
The Handmaids Tale,Margaret Wood
A Wild Sheep Chase,Haruki Murakami
Schindler's Art,Thomas Keneally
London Fields,Martin Amis
The Hound of the Baskervilles,Sir Arthur Conan Doyle
My Man Jeeves,P. G. Wodehouse
The English Patient,Michael Ondaatje
The Mill on the Floss,George Eliot
The Count of Monte Cristo,Alexandre Dumas
The Commitments,Roddy Doyle
Gladys Aylward the Little Woman,Gladys Aylward
Midnight's Children,Salman Rushdie
Tess of the D'urbervilles,Thomas Hardy
The Boy in the Stripped Pyjamas,John Boyne
Hamlet,William Shakespeare
Goodnight Mister Tom,Michelle Magorian
Dissolution,C. J. Sansom
The Time Machine,H.G. Wells
Winnie The Pooh (Complete Collection),A. A. Milne
Animal Farm,George Orwell
The Diary of a Young Girl,Anne Frank
The Enchanted Wood,Enid Blyton
Dracula,Bram Stoker
All Quiet on the Western Front,Erich Maria Remarque
Bridget Jones's Diary,Helen Fielding
Kite Runner,Khaled Hosseini
Pride and Prejudice,Jane Austen
To The Lighthouse,Virginia Woolf
Memoirs of a Geisha,Arthur Golden
Misery,Stephen King
The Chronicles of Narnia,C.S. Lewis
Watership Down,Richard Adams
The Odyssey,Homer
War and Peace,Leo Tolstoy
Bird Song,Sebastian Faulks
Tell No One,Harlan Coben
Moby-Dick,Herman Melville
A Tale of Two Cities,Charles Dickens
MiddleMarch,George Eliot
Jane Eyre,Charlotte BrontÃ«
